ticket_id,customer_id,message,created_at,customer_type,order_value,previous_complaints,department,status
T009730,C01385,My payment is stuck in 'Processing' status for the last 3 hours.,2026-06-09 21:06:00,Premium,153614.66,1,Payments,Resolved
T005783,C02320,"I received an email about a login from a new device, but it wasn't me.",2026-02-02 18:45:00,Premium,20928.49,0,Account Support,Resolved
T009256,C02428,I received the wrong product. This is becoming frustrating.,2026-05-01 20:35:00,Premium,195107.42,1,Returns,In Progress
T008939,C01292,My account login is not working.,2025-07-22 08:46:00,Premium,194374.22,0,Technical Support,In Progress
T008725,C00179,I keep getting an 'Error 500' when trying to check out.,2026-08-19 19:41:00,Business,114028.6,0,Payments,Resolved
T008174,C01043,"I want to return this, it feels very cheap and low quality. Can you check this for me?",2026-02-16 18:22:00,Regular,28626.91,3,Returns,Open
T003091,C00294,I need a tax invoice for my recent purchase.,2025-05-15 12:58:00,Regular,30344.56,2,Payments,Open
T001318,C01533,Do you offer any loyalty programs for frequent buyers? I need to speak to a real human agent.???,2025-07-14 20:43:00,Regular,36407.41,0,Sales,Open
T001942,C00565,The expiration date on this product has already passed! I want my money back.!!,2025-01-05 12:21:00,Regular,2829.61,0,Returns,Open
T000297,C00836,Is this item eligible for your 30-day money-back guarantee?,2025-08-26 19:46:00,Regular,35278.38,4,Sales,Open
T003380,C01483,Can I pay using a different currency? Please fix this ASAP.,2025-03-05 16:57:00,Regular,22635.76,7,Payments,Resolved
T003791,C01864,The application is not working properly. Please don't send me an automated reply.,2026-04-29 10:26:00,Premium,183970.41,3,Technical Support,Resolved
T001614,C00273,"I got an email saying my refund was processed, but it's not in my bank. I hope this can be sorted out quickly.",2025-05-31 21:39:00,Regular,58225.76,2,Returns,Resolved
T005183,C01227,"My installment plan failed this month, how can I manually pay it?",2025-09-23 19:07:00,Premium,85137.58,0,Payments,Open
T000851,C01518,"I ordered two items, but only one came in the box. Please don't send me an automated reply.",2025-08-08 14:27:00,Regular,68106.55,3,Logistics,Open
T008145,C01782,"I deleted the app and reinstalled it, but the same bug is still happening. Please keep me updated on the status.",2025-10-12 09:58:00,Premium,85476.18,1,Technical Support,In Progress
T006723,C00270,I cannot complete my payment.,2026-02-06 21:11:00,Premium,127657.71,0,Payments,Open
T007090,C02434,The voice search feature in the app doesn't recognize anything I say.,2025-07-22 22:13:00,Regular,60930.08,7,Technical Support,Open
T004827,C00973,Can I just pick up the order from the warehouse directly?,2026-01-22 11:07:00,Regular,76663.69,1,Logistics,Resolved
T004666,C02624,"The item broke the first time I used it, I need a refund.",2025-04-01 11:25:00,Business,173877.32,1,Returns,Resolved
T005818,C00472,"I want to buy gift cards for my team, is there a corporate rate?",2026-07-11 10:45:00,Premium,96191.54,2,Sales,Open
T000795,C00246,I want to know more about this product. I hope this can be sorted out quickly.,2025-11-07 22:51:00,Regular,11827.88,0,Sales,Resolved
T008854,C00321,Are your servers down? I can't access the platform at all. I'm losing my patience here.,2025-04-22 16:54:00,Business,364593.32,1,Technical Support,Open
T001179,C02584,The return courier was supposed to pick up the package yesterday but didn't come.,2025-02-24 15:52:00,Regular,36102.35,4,Returns,Open
T002220,C00270,"I only received a partial refund, why wasn't the full amount refunded?",2025-01-14 22:00:00,Premium,132314.87,0,Returns,In Progress
T003614,C01065,"I need this order by Friday, will it reach on time?",2025-08-27 16:26:00,Regular,54002.65,3,Logistics,In Progress
T003972,C02844,"I am getting push notifications, but when I click them, the app shows an error.???",2025-07-18 18:04:00,Regular,11599.01,4,Technical Support,In Progress
T003346,C00527,I want to place a business order. I expect better customer service than this.,2025-01-29 21:59:00,Regular,15469.74,1,Sales,Resolved
T006585,C01555,I cannot log into my account. I have already contacted support about this.,2026-02-13 13:06:00,Regular,7443.78,4,Technical Support,Resolved
T007781,C01934,Can I get a sample of this fabric before I place a large order?,2025-02-01 18:01:00,Regular,25555.41,0,Sales,Open
T009751,C00857,"You charged a restocking fee, but the website said free returns!",2025-10-24 14:28:00,Regular,17827.45,3,Returns,Open
T000701,C01229,The payment page is not working.,2025-08-21 14:08:00,Business,424863.61,0,Payments,In Progress
T000539,C02893,My discount code expired while I was stuck on the broken payment page.,2025-05-17 14:49:00,Premium,75515.69,0,Payments,Open
T002461,C00631,"I got an email saying my refund was processed, but it's not in my bank. I have already contacted support about this.",2025-04-27 11:51:00,Regular,24905.76,0,Returns,Resolved
T009253,C02239,"I need to order 50 units for my company, who should I talk to?",2025-11-23 18:55:00,Regular,71572.87,1,Sales,Resolved
T000947,C00419,My package was supposed to arrive five days ago.,2025-05-07 16:03:00,Regular,48910.06,0,Logistics,Open
T005731,C02936,I keep getting an error when trying to place an order.,2025-03-23 10:19:00,Regular,6006.69,0,Technical Support,Resolved
T000347,C01376,Can I change the shipping address for my order? I made a mistake.,2025-06-16 16:27:00,Regular,31143.5,0,Logistics,Resolved
T007716,C00743,The application is not working properly.,2025-06-18 22:59:00,Regular,55031.73,2,Technical Support,Open
T006801,C02064,"I am getting push notifications, but when I click them, the app shows an error. Why is this taking so long?!!",2025-01-16 18:39:00,Regular,36017.78,5,Technical Support,Open
T006704,C02806,Is there a bug with the wish list? All my saved items disappeared.,2026-03-03 22:02:00,Regular,50325.89,0,Technical Support,Resolved
T009104,C02767,How do I clear my search and browsing history on my account?,2025-03-07 13:08:00,Regular,19548.14,1,Account Support,In Progress
T008768,C01646,"The courier is asking for extra cash for delivery, is this normal?",2025-09-23 18:49:00,Regular,5913.6,5,Logistics,Resolved
T005476,C00471,I never received the OTP to verify my new phone number. This is becoming frustrating.,2025-12-16 09:38:00,Premium,142838.27,1,Account Support,Open
T004040,C00062,Can you notify me via email as soon as this gets restocked?,2026-08-28 09:49:00,Premium,145458.31,1,Sales,Open
T008668,C00604,Can you ask the driver to call me before arriving?,2026-04-14 22:43:00,Regular,71215.78,0,Logistics,In Progress
T006178,C00665,I keep getting a 'Session Expired' message the moment I log in.,2025-07-29 20:27:00,Premium,30321.55,3,Technical Support,Resolved
T009938,C02869,The return courier was supposed to pick up the package yesterday but didn't come. I am considering canceling my account over this.,2025-05-17 11:42:00,Regular,39302.35,2,Returns,Resolved
T001560,C00407,My account says it's locked due to too many failed login attempts. Please escalate this to a manager.,2026-04-16 10:29:00,Regular,38119.6,2,Technical Support,Resolved
T004338,C00463,How much would shipping cost if I buy three of these? I hope this can be sorted out quickly.,2025-03-31 09:46:00,Regular,19207.82,0,Sales,Resolved
T002918,C00653,can you ask the driver to call me before arriving?,2025-05-06 11:55:00,Regular,77617.31,1,Logistics,Resolved
T002558,C01619,Can I add a VAT number to my payment invoice? Can someone look into this?,2026-08-08 18:37:00,Regular,66467.16,4,Payments,In Progress
T001872,C02676,My delivery is taking much longer than expected. Any updates on this?,2025-12-20 20:57:00,Premium,113160.32,0,Logistics,Resolved
T007300,C02804,"I put the wrong zip code on my shipping address, can we fix it before dispatch? Thanks in advance for your help.",2025-03-06 10:09:00,Premium,175786.65,1,Logistics,Resolved
T006208,C01273,"i tried to use my gift card, but it says the balance is zero.",2025-07-20 14:23:00,Business,166696.38,0,Payments,In Progress
T003343,C00141,can i pay using a purchase order (po)?,2025-11-19 20:12:00,Premium,142776.28,0,Sales,Resolved
T008961,C00688,Do you accept PayPal or Apple Pay?,2025-12-09 18:27:00,Regular,22466.44,1,Payments,Open
T007651,C00375,I was sent two left shoes! I need a replacement immediately. I expect a resolution by today.,2025-01-02 11:38:00,Regular,48640.16,0,Returns,Resolved
T001250,C02358,Why was my VIP status downgraded to Standard?,2026-01-18 17:22:00,Regular,66352.51,0,Account Support,Resolved
T000311,C01570,The biometric login (Face ID) stopped working on my phone.,2025-08-24 14:05:00,Premium,122478.33,5,Technical Support,In Progress
T002215,C00928,"I canceled my order 10 minutes after placing it, why is it still shipping?",2026-04-28 17:55:00,Premium,92470.91,1,Returns,Open
T003359,C02793,Is it possible to schedule a specific delivery window for tomorrow? Please confirm once this is done.,2025-12-07 14:41:00,Premium,79432.58,3,Logistics,Resolved
T004515,C01612,My card was charged but the order was not confirmed.,2025-10-29 19:09:00,Regular,76983.79,3,Payments,Resolved
T002298,C01213,Why was my VIP status downgraded to Standard?!!,2025-09-01 12:42:00,Regular,11453.3,1,Account Support,Resolved
T001911,C00274,"My refund went to a canceled credit card, what do I do?",2025-09-20 20:29:00,Business,427997.96,1,Returns,Resolved
T005510,C02872,Does this smart home device work with Google Assistant?,2025-03-10 10:15:00,Premium,68970.17,4,Sales,Open
T002308,C02563,I need advice on which skincare routine is best for dry skin. Can you provide a timeframe for the fix?!!,2025-05-31 11:50:00,Regular,46615.01,1,Sales,Open
T003565,C00315,My browser console is showing a bunch of JavaScript errors on your site. Let me know if there's anything else you need from my side.,2025-12-22 16:55:00,Regular,32328.84,2,Technical Support,Resolved
T005795,C00615,"I only received a partial refund, why wasn't the full amount refunded?",2025-03-28 11:50:00,Regular,67774.61,5,Returns,Resolved
T009654,C01050,Your website is flagged as 'Not Secure' by my antivirus software.,2026-02-04 08:13:00,Regular,73768.67,5,Technical Support,Open
T007466,C02322,The 'Save Changes' button in my account settings is grayed out and unclickable.,2025-04-20 12:59:00,Regular,72407.85,3,Technical Support,Open
T002263,C00532,Is there an option to pay in installments? I look forward to hearing from you soon.,2025-04-15 10:23:00,Regular,7226.19,2,Payments,In Progress
T006945,C02899,I want to downgrade from the Pro plan to the free plan.,2025-08-25 19:41:00,Regular,73732.4,1,Account Support,Resolved
T000856,C02009,"The courier is asking for extra cash for delivery, is this normal?",2025-10-19 10:04:00,Regular,37524.59,2,Logistics,Resolved
T007695,C01616,Do your courier partners deliver on weekends?,2026-07-10 20:05:00,Regular,14153.19,2,Logistics,Open
T006419,C01042,My payment is stuck in 'Processing' status for the last 3 hours. This is becoming frustrating.,2025-07-25 20:16:00,Regular,12261.46,0,Payments,Resolved
T007065,C00077,how can i change my email address? please get back to me immediately.???,2025-05-17 21:42:00,Regular,38510.76,1,Account Support,Resolved
T003106,C00649,I keep getting a 'Session Expired' message the moment I log in.!!,2026-05-19 17:03:00,Premium,147668.2,0,Technical Support,Resolved
T006919,C02964,I was charged an incorrect amount.,2026-01-27 15:56:00,Regular,8280.62,6,Payments,In Progress
T006953,C00850,Is this item eligible for your 30-day money-back guarantee?,2025-06-02 13:31:00,Regular,39847.3,1,Sales,Resolved
T009884,C01126,"I need this order by Friday, will it reach on time? Please confirm once this is done.",2026-08-28 08:42:00,Regular,21351.96,1,Logistics,Resolved
T006438,C02874,I need to hold my shipment because I am going out of town tomorrow.,2025-12-28 11:15:00,Regular,41834.52,1,Logistics,In Progress
T001417,C00953,I need to hold my shipment because I am going out of town tomorrow. Can you guide me on how to fix this?,2025-01-08 12:48:00,Regular,23080.38,2,Logistics,Open
T008760,C02922,Can I add a VAT number to my payment invoice?,2026-03-02 17:11:00,Regular,73013.11,0,Payments,Open
T009403,C00933,I received a defective item. I am trusting you to resolve this today.,2025-07-15 14:25:00,Regular,4905.95,0,Returns,Resolved
T006851,C00472,Can you help me? The captcha verification is failing every single time. Please investigate this matter deeply.,2026-05-28 14:36:00,Premium,105027.17,2,Technical Support,Resolved
T008809,C01918,Why is my shipment stuck at the local hub for the last 4 days?,2025-08-02 10:09:00,Premium,100616.4,0,Logistics,Resolved
T006570,C01534,I accidentally placed the order twice because the payment button lagged.,2025-09-06 21:39:00,Regular,69508.95,1,Payments,Resolved
T000150,C01822,can i split my payment across two different credit cards? i need an update as soon as possible.,2026-03-23 16:41:00,Premium,154559.12,1,Payments,In Progress
T008977,C01795,The system is very slow today.,2026-06-16 18:37:00,Business,314790.89,6,Technical Support,Resolved
T000517,C00054,Do you guys price-match if I found this cheaper on another website? Nobody has replied to my previous emails.,2025-09-17 12:40:00,Regular,5520.93,1,Sales,Resolved
T008007,C00119,Do you have this exact model available at your physical store in downtown?,2025-09-15 13:44:00,Premium,61896.52,0,Sales,Resolved
T003652,C02024,How do I report a missing package?,2025-07-29 09:41:00,Premium,97504.58,1,Logistics,Resolved
T007070,C00513,I received someone else's order by mistake.,2025-01-03 14:38:00,Regular,31015.42,4,Logistics,Resolved
