ticket_id,customer_id,message,created_at,customer_type,order_value,previous_complaints,department,status,sentiment,priority
T004660,C02044,"if i buy the camera, does it come with a memory card included? i look forward to hearing from you soon.",2025-08-30 15:48:00,Premium,103540.58,3,Sales,In Progress,Neutral,High
T004275,C02254,"i only received a partial refund, why wasn't the full amount refunded? i am really unhappy with this service.",2025-06-12 19:42:00,Regular,55650.19,1,Returns,Resolved,Neutral,Low
T005765,C00818,"My bank says the transaction went through, but your system says it failed.",2025-08-21 19:05:00,Business,491406.9,0,Payments,In Progress,Negative,Medium
T001797,C02750,I received someone else's order by mistake.,2026-07-11 14:03:00,Premium,29769.93,1,Logistics,Resolved,Neutral,Low
T003607,C01994,Is this item eligible for your 30-day money-back guarantee? This issue needs immediate attention.,2025-03-21 12:52:00,Regular,14199.99,1,Sales,Resolved,Neutral,Low
T000867,C02419,Are the spare parts for this drone easy to find if it breaks? Thank you for your time and support.,2026-04-11 19:37:00,Regular,44222.73,3,Sales,In Progress,Neutral,Medium
T007511,C01204,I want to upgrade my membership to the premium tier.!!,2026-04-21 13:50:00,Regular,62505.49,0,Account Support,Resolved,Neutral,Low
T003028,C02944,I received a blue case but I ordered a black one.,2026-06-02 09:57:00,Premium,82911.18,7,Returns,Open,Neutral,High
T009946,C01052,I received someone else's order by mistake. Can someone look into this?,2025-12-14 11:43:00,Regular,72364.86,0,Logistics,Resolved,Neutral,Low
T007052,C01590,"This appliance won't turn on out of the box, I need an immediate replacement.",2025-10-15 12:00:00,Regular,44389.7,3,Returns,Open,Neutral,Medium
T002751,C01683,I haven't gotten any updates since the shipping label was created last week. This issue needs immediate attention.,2025-03-08 09:35:00,Regular,35452.69,0,Logistics,Resolved,Neutral,Low
T008900,C02998,"The delivery guy didn't even ring the bell, he just left it at the gate. please!",2026-08-27 15:10:00,Regular,13448.15,0,Logistics,Resolved,Neutral,Low
T008164,C02974,"If I buy the camera, does it come with a memory card included? This is my second time reaching out.",2026-01-04 16:58:00,Regular,1410.81,6,Sales,In Progress,Neutral,Medium
T006107,C02424,Can I add a VAT number to my payment invoice? What are the next steps?,2025-10-08 12:39:00,Business,363521.58,4,Payments,Open,Neutral,High
T005953,C01890,"The video review won't play, it just buffers infinitely. I expect better customer service than this.",2026-04-30 17:28:00,Regular,29717.38,0,Technical Support,Open,Neutral,Low
T004805,C01651,How much would shipping cost if I buy three of these?,2026-03-16 20:02:00,Regular,15441.92,0,Sales,Resolved,Neutral,Low
T003230,C02556,The website layout looks completely broken on my mobile phone. I need this resolved urgently.,2025-02-26 21:52:00,Regular,57264.84,0,Technical Support,In Progress,Negative,Medium
T005234,C00507,It's been three weeks and my international shipment hasn't cleared customs.,2025-10-03 12:09:00,Regular,27803.89,0,Logistics,In Progress,Neutral,Low
T001192,C00714,Do you offer free installation if I buy this air conditioner? Could you please point me in the right direction?,2026-08-04 13:09:00,Regular,4610.66,7,Sales,In Progress,Neutral,Medium
T001716,C02572,Is there a way to view my entire order history from last year? I expect better customer service than this.,2026-04-03 17:20:00,Regular,56558.09,0,Account Support,Open,Neutral,Low
T007356,C02521,Are these shoes suitable for wide feet?,2025-11-06 16:34:00,Regular,12186.16,2,Sales,In Progress,Neutral,Low
T003403,C00849,The payment was deducted but I did not receive an order confirmation.,2025-12-02 12:02:00,Regular,9858.55,0,Payments,Resolved,Neutral,Low
T004013,C02497,"I want to cancel this order, the shipping is taking way too long. I need an update as soon as possible.",2025-12-15 16:30:00,Premium,81860.57,7,Logistics,In Progress,Negative,Critical
T005846,C01520,I am getting an 'Error 500: Internal Server Error' on the payment page. Please help me.,2025-07-27 18:10:00,Regular,70631.2,0,Technical Support,Open,Negative,Medium
T006747,C00329,Is there a way to view my entire order history from last year?,2025-09-22 12:06:00,Regular,28297.51,2,Account Support,In Progress,Neutral,Low
T000882,C00016,Do you offer free installation if I buy this air conditioner? I hope this can be sorted out quickly.,2026-03-02 19:53:00,Premium,16375.99,2,Sales,In Progress,Neutral,Low
T006472,C01604,"I want to return this, it feels very cheap and low quality.",2025-12-03 18:54:00,Premium,56967.35,0,Returns,Resolved,Neutral,Low
T008161,C01431,I keep getting a 'Session Expired' message the moment I log in.!!,2026-03-11 11:17:00,Regular,38369.27,1,Technical Support,Open,Neutral,Low
T008690,C02945,"I need a replacement, but I want to make sure it's packed properly this time.",2025-11-23 12:30:00,Regular,65112.15,0,Returns,Open,Neutral,Low
T006987,C00339,Your website is flagged as 'Not Secure' by my antivirus software.,2025-08-08 14:37:00,Premium,60240.71,5,Technical Support,Open,Neutral,High
T002493,C02141,Can you help me? The captcha verification is failing every single time.,2025-04-12 18:54:00,Regular,58415.49,2,Technical Support,Resolved,Neutral,Low
T001581,C02339,The payment was deducted but I did not receive an order confirmation. please!,2025-03-21 16:55:00,Regular,32716.35,0,Payments,Resolved,Neutral,Low
T001259,C02586,Do you accept PayPal or Apple Pay?!!,2025-12-12 11:23:00,Regular,52831.09,2,Payments,Resolved,Neutral,Low
T006856,C02884,Why is my order still stuck in transit?,2026-06-15 15:54:00,Premium,134029.61,0,Logistics,Open,Negative,High
T008369,C01748,Can you notify me via email as soon as this gets restocked?,2025-07-06 20:58:00,Premium,99836.17,4,Sales,Open,Neutral,High
T002309,C02342,How do I turn on two-factor authentication for better security?,2026-07-01 10:56:00,Regular,71062.82,1,Account Support,Resolved,Neutral,Low
T002709,C01818,"The box was fine, but the glass inside was completely shattered.",2026-04-02 18:05:00,Regular,25170.48,3,Returns,Resolved,Neutral,Medium
T007357,C01557,i want to downgrade from the pro plan to the free plan.,2026-06-02 16:23:00,Regular,8195.96,1,Account Support,In Progress,Neutral,Low
T006294,C00858,"I've been trying to verify my identity, but my ID upload keeps failing. Please get back to me immediately.",2026-06-08 21:22:00,Regular,42456.83,2,Account Support,Resolved,Neutral,Low
T008184,C01117,Can you ask the driver to call me before arriving?,2026-04-22 17:45:00,Regular,42363.96,1,Logistics,In Progress,Neutral,Low
T003130,C02984,"Every time I click 'Checkout', the page just refreshes. Kindly prioritize this ticket.",2026-08-11 18:02:00,Regular,44803.31,0,Technical Support,Open,Neutral,Low
T007826,C00725,I need to download a copy of all my data for privacy reasons. This is completely unacceptable.,2025-01-27 22:48:00,Regular,11239.24,0,Account Support,Resolved,Negative,Low
T001461,C01252,"I received an email about a login from a new device, but it wasn't me.",2025-08-13 21:40:00,Regular,24687.81,1,Account Support,Resolved,Neutral,Low
T001139,C02708,"I canceled my order 10 minutes after placing it, why is it still shipping?",2026-03-12 17:33:00,Premium,110181.11,2,Returns,Open,Negative,High
T008283,C00209,My loyalty points are not showing up in my account dashboard.,2026-07-13 15:52:00,Regular,60313.35,1,Account Support,In Progress,Neutral,Low
T006319,C02096,"My company changed its name, how do I update my business account details?",2025-07-07 18:14:00,Regular,14391.45,7,Account Support,Resolved,Neutral,Medium
T000890,C01278,The system is very slow today.!,2025-04-07 17:00:00,Regular,9439.47,4,Technical Support,In Progress,Neutral,Medium
T001274,C01164,the application is not working properly.,2026-07-29 15:25:00,Regular,25187.46,3,Technical Support,In Progress,Neutral,Medium
T000379,C01888,I need help tracking my order. Can someone look into this?,2026-02-28 18:28:00,Regular,53790.58,5,Logistics,In Progress,Neutral,Medium
T003132,C00055,"I want to return this, it feels very cheap and low quality. I hope this can be sorted out quickly.",2025-06-29 13:40:00,Regular,6353.35,6,Returns,Open,Neutral,Medium
T002884,C01407,Why is there an extra foreign transaction fee on my statement? This is completely unacceptable.,2025-01-27 13:11:00,Regular,1339.81,1,Payments,Resolved,Negative,Medium
T006834,C02159,My delivery is taking much longer than expected.!!,2025-07-08 17:14:00,Regular,67634.74,4,Logistics,Open,Neutral,Medium
T008107,C00402,Can you help me? The captcha verification is failing every single time.,2025-07-29 17:11:00,Regular,16547.52,7,Technical Support,Resolved,Neutral,Medium
T009519,C01595,I requested a password reset email but never received it. Please don't send me an automated reply.,2025-01-11 10:58:00,Regular,4848.73,0,Technical Support,In Progress,Neutral,Low
T009599,C00046,Please help me with the return process. Can you guide me on how to fix this?,2025-04-25 18:38:00,Regular,68619.75,2,Returns,Resolved,Neutral,Low
T000205,C02362,Your website is flagged as 'Not Secure' by my antivirus software. I'm losing my patience here.,2026-02-12 14:10:00,Regular,38186.37,0,Technical Support,In Progress,Neutral,Low
T001289,C02321,My package is delayed and I need an update. I'm really confused and need some clarity.,2025-04-28 11:46:00,Regular,69238.18,2,Logistics,In Progress,Negative,Medium
T000572,C00289,Why is the search bar not returning any results today?,2026-07-01 19:01:00,Regular,35643.17,1,Technical Support,Resolved,Neutral,Low
T002453,C00305,"I am looking for a laptop for video editing, what do you recommend?",2025-05-15 19:54:00,Regular,53361.53,0,Sales,In Progress,Neutral,Low
T003170,C00733,"I received a notification of a payment, but I didn't buy anything! Let me know what information you need from me.",2025-01-03 16:40:00,Regular,27171.96,1,Payments,Resolved,Neutral,Low
T000403,C02726,Can you tell me about your available products?,2025-07-21 14:37:00,Premium,184878.07,2,Sales,Open,Neutral,Medium
T006508,C00445,I need a tax invoice for my recent purchase.,2025-07-23 11:16:00,Regular,30003.29,1,Payments,Resolved,Neutral,Low
T000213,C01014,I need advice on which skincare routine is best for dry skin.!,2026-01-29 14:45:00,Regular,47306.67,6,Sales,Resolved,Neutral,Medium
T008846,C02905,Can I pay using a different currency? Let me know if there's anything else you need from my side.,2025-06-07 21:55:00,Premium,172223.59,0,Payments,Resolved,Neutral,Medium
T003331,C00943,I keep getting a 'Session Expired' message the moment I log in.,2026-08-04 09:36:00,Regular,18705.26,0,Technical Support,In Progress,Neutral,Low
T004028,C02146,How do I report a missing package? This issue needs immediate attention.,2025-04-26 19:32:00,Regular,39106.95,0,Logistics,Resolved,Neutral,Low
T000106,C02070,Can you leave instructions for the driver to leave the package at the back door? Please fix this ASAP.,2025-05-07 08:48:00,Business,335952.34,1,Logistics,Open,Negative,High
T000770,C01174,The product does not match the description.,2025-06-17 13:42:00,Regular,72243.85,5,Returns,Resolved,Neutral,Medium
T000590,C01083,Will this phone case fit the newest model that just came out? Please investigate this matter deeply.,2026-03-27 09:48:00,Premium,189953.95,4,Sales,In Progress,Neutral,High
T005294,C01054,Is it safe to save my card details on your platform?,2025-08-11 10:15:00,Regular,6232.97,3,Payments,Open,Neutral,Medium
T005928,C02114,My return tracking says 'Delivered to Warehouse' but my refund is still pending. This is becoming frustrating.,2025-01-05 22:34:00,Regular,74749.86,1,Returns,Resolved,Negative,Medium
T009868,C02669,"The box was fine, but the glass inside was completely shattered. I need this resolved urgently.",2025-08-21 21:17:00,Premium,109245.72,2,Returns,Resolved,Negative,High
T005649,C02030,Your delivery partner keeps calling the wrong phone number.,2025-05-05 17:47:00,Regular,47401.03,2,Logistics,Open,Negative,Medium
T007269,C00731,Are there any offers available? Let me know if there's anything else you need from my side.,2025-02-25 22:28:00,Regular,21430.55,3,Sales,Open,Neutral,Medium
T001406,C02601,i want to exchange this for a different color.,2025-05-08 08:12:00,Premium,138816.58,1,Returns,In Progress,Neutral,Medium
T006968,C01686,"I want to cancel this order, the shipping is taking way too long. Let me know what information you need from me.",2025-01-14 18:31:00,Business,281087.12,2,Logistics,In Progress,Negative,High
T009087,C01568,"I paid for overnight shipping, but it's been 48 hours. I want my shipping fee refunded.!",2025-11-03 08:44:00,Regular,43140.95,4,Logistics,Resolved,Neutral,Medium
T004349,C02266,"I want to return this, it feels very cheap and low quality. I have already contacted support about this.",2025-01-09 18:03:00,Regular,33947.91,2,Returns,Open,Neutral,Low
T003896,C01058,is this item eligible for your 30-day money-back guarantee?,2026-06-12 19:27:00,Regular,70562.88,2,Sales,Open,Neutral,Low
T009799,C00209,Where can I find my account creation date?,2026-04-04 10:20:00,Regular,23298.2,1,Account Support,Resolved,Neutral,Low
T005494,C00748,"I received a notification of a payment, but I didn't buy anything! Why is this taking so long?",2025-08-24 14:26:00,Business,418006.9,5,Payments,Resolved,Neutral,High
T008899,C02298,My package was left out in the rain and the box is completely ruined. Can you guide me on how to fix this? please!,2025-05-31 14:21:00,Regular,3370.49,1,Logistics,In Progress,Neutral,Low
T007766,C00521,Do I have to pay for return shipping?,2026-07-20 21:27:00,Premium,126452.55,1,Returns,Resolved,Neutral,Medium
T009594,C02378,I want to exchange this for a different color.,2026-06-30 08:42:00,Regular,6895.37,0,Returns,Open,Neutral,Low
T000491,C02157,it's been three weeks and my international shipment hasn't cleared customs. please don't send me an automated reply.,2025-01-25 11:40:00,Premium,157896.15,0,Logistics,Open,Neutral,Medium
T002306,C00874,The driver refused to bring the heavy box up to my apartment.,2026-05-08 14:04:00,Premium,133043.87,0,Logistics,Resolved,Neutral,Medium
T001667,C01885,I keep seeing the loading spinner forever when I try to apply a filter.,2026-03-26 15:58:00,Regular,19703.81,2,Technical Support,Resolved,Neutral,Low
T006934,C01501,I was charged twice for the same order. I am trusting you to resolve this today.,2025-03-31 13:09:00,Premium,103777.14,2,Payments,Resolved,Negative,High
T000793,C00664,Your delivery partner keeps calling the wrong phone number. Please get back to me immediately.,2026-01-18 16:16:00,Regular,38752.5,0,Logistics,Resolved,Negative,Low
T007515,C01532,can you help me unlink my google account from my profile?,2026-04-29 19:00:00,Regular,16065.32,3,Account Support,Open,Neutral,Medium
T007077,C02648,I keep getting an 'Error 500' when trying to check out. Please fix this ASAP.,2025-03-30 16:59:00,Regular,43982.81,1,Payments,Open,Negative,Medium
T009084,C00547,"I want to buy gift cards for my team, is there a corporate rate? This is becoming frustrating.",2025-06-21 21:41:00,Premium,45866.01,0,Sales,In Progress,Negative,Medium
T004663,C00782,My card was charged but the order was not confirmed.,2026-05-31 11:39:00,Regular,23963.71,0,Payments,In Progress,Neutral,Low
T007505,C00885,My subscription renewed automatically but I wanted to cancel it.???,2026-06-14 11:20:00,Regular,33208.53,0,Payments,Resolved,Negative,Low
T006180,C00392,I want to recover an old account I haven't used in 3 years.,2026-07-31 17:59:00,Premium,175405.95,1,Account Support,Resolved,Neutral,Medium
T007570,C00701,I lost my phone and can't access my 2FA app. I am locked out.,2025-06-15 14:44:00,Regular,72901.69,0,Account Support,In Progress,Neutral,Low
T002578,C02737,I am trying to add a secondary email address to my account.,2025-08-15 11:03:00,Regular,15386.66,3,Account Support,In Progress,Neutral,Medium
T002684,C02542,"I got an email saying my refund was processed, but it's not in my bank. I need to speak to a real human agent.",2025-12-13 08:52:00,Premium,146092.37,1,Returns,Open,Neutral,Medium
T000545,C00224,Your return portal keeps giving me an error when I try to submit. This issue needs immediate attention.,2026-04-07 16:23:00,Premium,159485.65,1,Returns,Resolved,Negative,High
T000977,C00611,I tried paying with my debit card but it says 'Credit Cards Only'.,2025-02-11 21:01:00,Regular,66769.87,3,Payments,Open,Neutral,Medium
T003251,C01058,"My installment plan failed this month, how can I manually pay it? It's been days and still no progress.",2026-08-03 16:55:00,Regular,16021.53,2,Payments,Resolved,Negative,Medium
T006630,C02251,The product is totally different from the pictures on your website.,2025-12-28 17:38:00,Regular,21967.77,0,Returns,Resolved,Neutral,Low
T009730,C01385,My payment is stuck in 'Processing' status for the last 3 hours.,2026-06-09 21:06:00,Premium,153614.66,1,Payments,Resolved,Negative,High
T005783,C02320,"I received an email about a login from a new device, but it wasn't me.",2026-02-02 18:45:00,Premium,20928.49,0,Account Support,Resolved,Neutral,Low
T009256,C02428,I received the wrong product. This is becoming frustrating.,2026-05-01 20:35:00,Premium,195107.42,1,Returns,In Progress,Negative,High
T008939,C01292,My account login is not working.,2025-07-22 08:46:00,Premium,194374.22,0,Technical Support,In Progress,Neutral,Medium
T008725,C00179,I keep getting an 'Error 500' when trying to check out.,2026-08-19 19:41:00,Business,114028.6,0,Payments,Resolved,Negative,Medium
T008174,C01043,"I want to return this, it feels very cheap and low quality. Can you check this for me?",2026-02-16 18:22:00,Regular,28626.91,3,Returns,Open,Neutral,Medium
T003091,C00294,I need a tax invoice for my recent purchase.,2025-05-15 12:58:00,Regular,30344.56,2,Payments,Open,Neutral,Low
T001318,C01533,Do you offer any loyalty programs for frequent buyers? I need to speak to a real human agent.???,2025-07-14 20:43:00,Regular,36407.41,0,Sales,Open,Neutral,Low
T001942,C00565,The expiration date on this product has already passed! I want my money back.!!,2025-01-05 12:21:00,Regular,2829.61,0,Returns,Open,Neutral,Low
T000297,C00836,Is this item eligible for your 30-day money-back guarantee?,2025-08-26 19:46:00,Regular,35278.38,4,Sales,Open,Neutral,Medium
T003380,C01483,Can I pay using a different currency? Please fix this ASAP.,2025-03-05 16:57:00,Regular,22635.76,7,Payments,Resolved,Negative,High
T003791,C01864,The application is not working properly. Please don't send me an automated reply.,2026-04-29 10:26:00,Premium,183970.41,3,Technical Support,Resolved,Neutral,High
T001614,C00273,"I got an email saying my refund was processed, but it's not in my bank. I hope this can be sorted out quickly.",2025-05-31 21:39:00,Regular,58225.76,2,Returns,Resolved,Neutral,Low
T005183,C01227,"My installment plan failed this month, how can I manually pay it?",2025-09-23 19:07:00,Premium,85137.58,0,Payments,Open,Negative,Medium
T000851,C01518,"I ordered two items, but only one came in the box. Please don't send me an automated reply.",2025-08-08 14:27:00,Regular,68106.55,3,Logistics,Open,Neutral,Medium
T008145,C01782,"I deleted the app and reinstalled it, but the same bug is still happening. Please keep me updated on the status.",2025-10-12 09:58:00,Premium,85476.18,1,Technical Support,In Progress,Neutral,Medium
T006723,C00270,I cannot complete my payment.,2026-02-06 21:11:00,Premium,127657.71,0,Payments,Open,Neutral,Medium
T007090,C02434,The voice search feature in the app doesn't recognize anything I say.,2025-07-22 22:13:00,Regular,60930.08,7,Technical Support,Open,Neutral,Medium
T004827,C00973,Can I just pick up the order from the warehouse directly?,2026-01-22 11:07:00,Regular,76663.69,1,Logistics,Resolved,Neutral,Low
T004666,C02624,"The item broke the first time I used it, I need a refund.",2025-04-01 11:25:00,Business,173877.32,1,Returns,Resolved,Neutral,Medium
T005818,C00472,"I want to buy gift cards for my team, is there a corporate rate?",2026-07-11 10:45:00,Premium,96191.54,2,Sales,Open,Neutral,Medium
T000795,C00246,I want to know more about this product. I hope this can be sorted out quickly.,2025-11-07 22:51:00,Regular,11827.88,0,Sales,Resolved,Neutral,Low
T008854,C00321,Are your servers down? I can't access the platform at all. I'm losing my patience here.,2025-04-22 16:54:00,Business,364593.32,1,Technical Support,Open,Neutral,Medium
T001179,C02584,The return courier was supposed to pick up the package yesterday but didn't come.,2025-02-24 15:52:00,Regular,36102.35,4,Returns,Open,Neutral,Medium
T002220,C00270,"I only received a partial refund, why wasn't the full amount refunded?",2025-01-14 22:00:00,Premium,132314.87,0,Returns,In Progress,Neutral,Medium
T003614,C01065,"I need this order by Friday, will it reach on time?",2025-08-27 16:26:00,Regular,54002.65,3,Logistics,In Progress,Neutral,Medium
T003972,C02844,"I am getting push notifications, but when I click them, the app shows an error.???",2025-07-18 18:04:00,Regular,11599.01,4,Technical Support,In Progress,Negative,High
T003346,C00527,I want to place a business order. I expect better customer service than this.,2025-01-29 21:59:00,Regular,15469.74,1,Sales,Resolved,Neutral,Low
T006585,C01555,I cannot log into my account. I have already contacted support about this.,2026-02-13 13:06:00,Regular,7443.78,4,Technical Support,Resolved,Neutral,Medium
T007781,C01934,Can I get a sample of this fabric before I place a large order?,2025-02-01 18:01:00,Regular,25555.41,0,Sales,Open,Neutral,Low
T009751,C00857,"You charged a restocking fee, but the website said free returns!",2025-10-24 14:28:00,Regular,17827.45,3,Returns,Open,Neutral,Medium
T000701,C01229,The payment page is not working.,2025-08-21 14:08:00,Business,424863.61,0,Payments,In Progress,Neutral,Low
T000539,C02893,My discount code expired while I was stuck on the broken payment page.,2025-05-17 14:49:00,Premium,75515.69,0,Payments,Open,Negative,Medium
T002461,C00631,"I got an email saying my refund was processed, but it's not in my bank. I have already contacted support about this.",2025-04-27 11:51:00,Regular,24905.76,0,Returns,Resolved,Neutral,Low
T009253,C02239,"I need to order 50 units for my company, who should I talk to?",2025-11-23 18:55:00,Regular,71572.87,1,Sales,Resolved,Neutral,Low
T000947,C00419,My package was supposed to arrive five days ago.,2025-05-07 16:03:00,Regular,48910.06,0,Logistics,Open,Neutral,Low
T005731,C02936,I keep getting an error when trying to place an order.,2025-03-23 10:19:00,Regular,6006.69,0,Technical Support,Resolved,Negative,Low
T000347,C01376,Can I change the shipping address for my order? I made a mistake.,2025-06-16 16:27:00,Regular,31143.5,0,Logistics,Resolved,Neutral,Low
T007716,C00743,The application is not working properly.,2025-06-18 22:59:00,Regular,55031.73,2,Technical Support,Open,Neutral,Low
T006801,C02064,"I am getting push notifications, but when I click them, the app shows an error. Why is this taking so long?!!",2025-01-16 18:39:00,Regular,36017.78,5,Technical Support,Open,Negative,High
T006704,C02806,Is there a bug with the wish list? All my saved items disappeared.,2026-03-03 22:02:00,Regular,50325.89,0,Technical Support,Resolved,Neutral,Low
T009104,C02767,How do I clear my search and browsing history on my account?,2025-03-07 13:08:00,Regular,19548.14,1,Account Support,In Progress,Neutral,Low
T008768,C01646,"The courier is asking for extra cash for delivery, is this normal?",2025-09-23 18:49:00,Regular,5913.6,5,Logistics,Resolved,Neutral,Medium
T005476,C00471,I never received the OTP to verify my new phone number. This is becoming frustrating.,2025-12-16 09:38:00,Premium,142838.27,1,Account Support,Open,Negative,High
T004040,C00062,Can you notify me via email as soon as this gets restocked?,2026-08-28 09:49:00,Premium,145458.31,1,Sales,Open,Neutral,Medium
T008668,C00604,Can you ask the driver to call me before arriving?,2026-04-14 22:43:00,Regular,71215.78,0,Logistics,In Progress,Neutral,Low
T006178,C00665,I keep getting a 'Session Expired' message the moment I log in.,2025-07-29 20:27:00,Premium,30321.55,3,Technical Support,Resolved,Neutral,Medium
T009938,C02869,The return courier was supposed to pick up the package yesterday but didn't come. I am considering canceling my account over this.,2025-05-17 11:42:00,Regular,39302.35,2,Returns,Resolved,Negative,Medium
T001560,C00407,My account says it's locked due to too many failed login attempts. Please escalate this to a manager.,2026-04-16 10:29:00,Regular,38119.6,2,Technical Support,Resolved,Negative,Medium
T004338,C00463,How much would shipping cost if I buy three of these? I hope this can be sorted out quickly.,2025-03-31 09:46:00,Regular,19207.82,0,Sales,Resolved,Neutral,Low
T002918,C00653,can you ask the driver to call me before arriving?,2025-05-06 11:55:00,Regular,77617.31,1,Logistics,Resolved,Neutral,Low
T002558,C01619,Can I add a VAT number to my payment invoice? Can someone look into this?,2026-08-08 18:37:00,Regular,66467.16,4,Payments,In Progress,Neutral,Medium
T001872,C02676,My delivery is taking much longer than expected. Any updates on this?,2025-12-20 20:57:00,Premium,113160.32,0,Logistics,Resolved,Neutral,Medium
T007300,C02804,"I put the wrong zip code on my shipping address, can we fix it before dispatch? Thanks in advance for your help.",2025-03-06 10:09:00,Premium,175786.65,1,Logistics,Resolved,Negative,High
T006208,C01273,"i tried to use my gift card, but it says the balance is zero.",2025-07-20 14:23:00,Business,166696.38,0,Payments,In Progress,Neutral,Low
T003343,C00141,can i pay using a purchase order (po)?,2025-11-19 20:12:00,Premium,142776.28,0,Sales,Resolved,Neutral,Medium
T008961,C00688,Do you accept PayPal or Apple Pay?,2025-12-09 18:27:00,Regular,22466.44,1,Payments,Open,Neutral,Low
T007651,C00375,I was sent two left shoes! I need a replacement immediately. I expect a resolution by today.,2025-01-02 11:38:00,Regular,48640.16,0,Returns,Resolved,Neutral,Low
T001250,C02358,Why was my VIP status downgraded to Standard?,2026-01-18 17:22:00,Regular,66352.51,0,Account Support,Resolved,Neutral,Low
T000311,C01570,The biometric login (Face ID) stopped working on my phone.,2025-08-24 14:05:00,Premium,122478.33,5,Technical Support,In Progress,Neutral,High
T002215,C00928,"I canceled my order 10 minutes after placing it, why is it still shipping?",2026-04-28 17:55:00,Premium,92470.91,1,Returns,Open,Negative,High
T003359,C02793,Is it possible to schedule a specific delivery window for tomorrow? Please confirm once this is done.,2025-12-07 14:41:00,Premium,79432.58,3,Logistics,Resolved,Neutral,High
T004515,C01612,My card was charged but the order was not confirmed.,2025-10-29 19:09:00,Regular,76983.79,3,Payments,Resolved,Neutral,Medium
T002298,C01213,Why was my VIP status downgraded to Standard?!!,2025-09-01 12:42:00,Regular,11453.3,1,Account Support,Resolved,Neutral,Low
T001911,C00274,"My refund went to a canceled credit card, what do I do?",2025-09-20 20:29:00,Business,427997.96,1,Returns,Resolved,Negative,High
T005510,C02872,Does this smart home device work with Google Assistant?,2025-03-10 10:15:00,Premium,68970.17,4,Sales,Open,Neutral,High
T002308,C02563,I need advice on which skincare routine is best for dry skin. Can you provide a timeframe for the fix?!!,2025-05-31 11:50:00,Regular,46615.01,1,Sales,Open,Neutral,Low
T003565,C00315,My browser console is showing a bunch of JavaScript errors on your site. Let me know if there's anything else you need from my side.,2025-12-22 16:55:00,Regular,32328.84,2,Technical Support,Resolved,Negative,Medium
T005795,C00615,"I only received a partial refund, why wasn't the full amount refunded?",2025-03-28 11:50:00,Regular,67774.61,5,Returns,Resolved,Neutral,Medium
T009654,C01050,Your website is flagged as 'Not Secure' by my antivirus software.,2026-02-04 08:13:00,Regular,73768.67,5,Technical Support,Open,Neutral,Medium
